id,name,mood
60,Three Colors: Blue (1993),"['Fearful', 'Surprised', 'Neutral']"
61,Three Colors: White (1994),"['Fearful', 'Surprised', 'Neutral']"
62,Stargate (1994),"['Happy', 'Neutral', 'Surprised']"
63,"Santa Clause, The (1994)","['Disgusted', 'Angry', 'Neutral', 'Sad']"
64,"Shawshank Redemption, The (1994)","['Surprised', 'Happy', 'Neutral', 'Sad']"
65,What's Eating Gilbert Grape (1993),"['Happy', 'Neutral', 'Sad']"
66,While You Were Sleeping (1995),"['Surprised', 'Happy', 'Neutral']"
67,Ace Ventura: Pet Detective (1994),"['Happy', 'Neutral', 'Sad', 'Surprised']"
68,"Crow, The (1994)","['Fearful', 'Surprised', 'Neutral']"
69,Forrest Gump (1994),"['Sad', 'Surprised', 'Neutral', 'Happy']"
70,Four Weddings and a Funeral (1994),"['Happy', 'Neutral', 'Surprised', 'Sad']"
71,"Lion King, The (1994)","['Surprised', 'Happy', 'Neutral']"
72,"Mask, The (1994)","['Surprised', 'Happy', 'Neutral', 'Sad']"
73,Maverick (1994),"['Happy', 'Neutral', 'Sad']"
74,Faster Pussycat! Kill! Kill! (1965),"['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
75,Brother Minister: The Assassination of Malcolm X (1994),"['Neutral', 'Sad', 'Surprised', 'Disgusted', 'Fearful']"
76,Carlito's Way (1993),"['Angry', 'Disgusted', 'Neutral', 'Surprised']"
77,"Firm, The (1993)","['Fearful', 'Neutral', 'Sad']"
78,Free Willy (1993),"['Surprised', 'Happy', 'Neutral', 'Sad']"
79,"Fugitive, The (1993)","['Neutral', 'Surprised', 'Fearful', 'Angry']"
80,Hot Shots! Part Deux (1993),"['Happy', 'Neutral', 'Sad']"
81,"Hudsucker Proxy, The (1994)","['Happy', 'Neutral', 'Surprised']"
82,Jurassic Park (1993),"['Surprised', 'Neutral', 'Happy', 'Fearful']"
83,Much Ado About Nothing (1993),"['Happy', 'Neutral']"
84,Robert A. Heinlein's The Puppet Masters (1994),"['Surprised', 'Sad', 'Neutral', 'Fearful']"
85,"Ref, The (1994)","['Happy', 'Neutral', 'Sad', 'Angry']"
86,"Remains of the Day, The (1993)","['Disgusted', 'Neutral', 'Fearful', 'Sad']"
87,Searching for Bobby Fischer (1993),"['Happy', 'Neutral', 'Surprised']"
88,Sleepless in Seattle (1993),"['Happy', 'Neutral', 'Sad']"
89,Blade Runner (1982),"['Surprised', 'Happy', 'Neutral', 'Fearful']"
90,So I Married an Axe Murderer (1993),"['Happy', 'Neutral', 'Sad']"
91,"Nightmare Before Christmas, The (1993)","['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
92,True Romance (1993),"['Disgusted', 'Fearful', 'Neutral']"
93,Welcome to the Dollhouse (1995),"['Angry', 'Happy', 'Neutral', 'Sad']"
94,Home Alone (1990),"['Surprised', 'Happy', 'Neutral', 'Sad']"
95,Aladdin (1992),"['Surprised', 'Happy', 'Neutral', 'Sad', 'Angry']"
96,Terminator 2: Judgment Day (1991),"['Angry', 'Fearful', 'Neutral', 'Surprised']"
97,Dances with Wolves (1990),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Sad']"
98,"Silence of the Lambs, The (1991)","['Fearful', 'Surprised', 'Disgusted', 'Angry', 'Neutral']"
99,Snow White and the Seven Dwarfs (1937),"['Happy', 'Neutral', 'Sad', 'Surprised']"
100,Fargo (1996),"['Fearful', 'Neutral', 'Surprised']"
101,Heavy Metal (1981),"['Neutral', 'Surprised', 'Happy']"
102,"Aristocats, The (1970)","['Happy', 'Neutral', 'Sad', 'Surprised']"
103,All Dogs Go to Heaven 2 (1996),"['Sad', 'Surprised', 'Happy', 'Neutral']"
104,Theodore Rex (1995),"['Angry', 'Disgusted', 'Fearful', 'Neutral']"
105,Sgt. Bilko (1996),"['Happy', 'Neutral', 'Sad', 'Angry']"
106,Diabolique (1996),"['Fearful', 'Disgusted', 'Surprised', 'Neutral', 'Sad']"
107,Moll Flanders (1996),['Neutral']
108,Kids in the Hall: Brain Candy (1996),"['Angry', 'Happy', 'Neutral', 'Sad']"
109,Mystery Science Theater 3000: The Movie (1996),"['Happy', 'Neutral', 'Sad', 'Angry']"
110,Operation Dumbo Drop (1995),"['Angry', 'Disgusted', 'Sad']"
111,"Truth About Cats & Dogs, The (1996)","['Happy', 'Neutral', 'Sad']"
112,Flipper (1996),"['Happy', 'Neutral', 'Sad']"
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","['Neutral', 'Surprised']"
114,Wallace & Gromit: The Best of Aardman Animation (1996),"['Surprised', 'Happy', 'Neutral', 'Sad']"
115,"Haunted World of Edward D. Wood Jr., The (1995)","['Neutral', 'Surprised']"
116,Cold Comfort Farm (1995),"['Happy', 'Neutral', 'Sad']"
117,"Rock, The (1996)","['Angry', 'Disgusted', 'Happy', 'Neutral']"
118,Twister (1996),"['Fearful', 'Neutral', 'Surprised']"
119,Maya Lin: A Strong Clear Vision (1994),"['Happy', 'Neutral', 'Surprised', 'Angry']"
120,Striptease (1996),"['Disgusted', 'Happy', 'Neutral']"
121,Independence Day (ID4) (1996),"['Fearful', 'Happy', 'Neutral', 'Surprised']"
122,"Cable Guy, The (1996)","['Happy', 'Neutral', 'Sad', 'Angry']"
123,"Frighteners, The (1996)","['Fearful', 'Happy', 'Neutral', 'Sad']"
124,Lone Star (1996),"['Fearful', 'Neutral', 'Surprised']"
125,Phenomenon (1996),"['Neutral', 'Disgusted']"
126,"Spitfire Grill, The (1996)",['Neutral']
127,"Godfather, The (1972)","['Fearful', 'Disgusted', 'Angry', 'Neutral', 'Sad', 'Surprised']"
128,Supercop (1992),"['Neutral', 'Surprised']"
129,Bound (1996),"['Fearful', 'Surprised', 'Neutral']"
130,Kansas City (1996),"['Neutral', 'Disgusted']"
131,Breakfast at Tiffany's (1961),"['Happy', 'Neutral', 'Sad', 'Surprised']"
132,"Wizard of Oz, The (1939)","['Surprised', 'Happy', 'Neutral', 'Sad', 'Fearful']"
133,Gone with the Wind (1939),"['Surprised', 'Happy', 'Neutral', 'Sad', 'Angry']"
134,Citizen Kane (1941),"['Surprised', 'Happy', 'Neutral', 'Sad', 'Angry', 'Disgusted', 'Fearful']"
135,2001: A Space Odyssey (1968),"['Surprised', 'Happy', 'Fearful', 'Disgusted', 'Angry', 'Neutral', 'Sad']"
136,Mr. Smith Goes to Washington (1939),"['Happy', 'Neutral', 'Sad', 'Surprised']"
137,Big Night (1996),"['Happy', 'Neutral', 'Surprised']"
138,D3: The Mighty Ducks (1996),"['Sad', 'Neutral']"
139,"Love Bug, The (1969)","['Angry', 'Happy', 'Neutral', 'Sad']"
140,Homeward Bound: The Incredible Journey (1993),"['Happy', 'Neutral', 'Surprised']"
141,"20,000 Leagues Under the Sea (1954)","['Surprised', 'Neutral', 'Happy']"
142,Bedknobs and Broomsticks (1971),"['Happy', 'Neutral', 'Sad', 'Surprised']"
143,"Sound of Music, The (1965)","['Happy', 'Neutral', 'Surprised', 'Sad']"
144,Die Hard (1988),"['Surprised', 'Angry', 'Disgusted', 'Fearful', 'Neutral']"
145,"Lawnmower Man, The (1992)","['Disgusted', 'Fearful', 'Neutral']"
146,Unhook the Stars (1996),"['Happy', 'Neutral']"
147,"Long Kiss Goodnight, The (1996)","['Fearful', 'Surprised', 'Neutral', 'Angry']"
148,"Ghost and the Darkness, The (1996)","['Fearful', 'Disgusted', 'Angry', 'Neutral']"
149,Jude (1996),"['Happy', 'Neutral']"
150,Swingers (1996),"['Happy', 'Neutral', 'Angry']"
151,Willy Wonka and the Chocolate Factory (1971),"['Surprised', 'Sad', 'Neutral', 'Happy']"
152,Sleeper (1973),"['Angry', 'Sad', 'Neutral', 'Happy']"
153,"Fish Called Wanda, A (1988)","['Happy', 'Neutral']"
154,Monty Python's Life of Brian (1979),"['Happy', 'Neutral', 'Sad', 'Surprised']"
155,Dirty Dancing (1987),"['Happy', 'Neutral', 'Surprised', 'Sad']"
156,Reservoir Dogs (1992),"['Surprised', 'Fearful', 'Neutral']"
157,Platoon (1986),"['Angry', 'Disgusted', 'Fearful', 'Sad', 'Neutral', 'Surprised']"
158,Weekend at Bernie's (1989),"['Happy', 'Neutral', 'Sad']"
159,Basic Instinct (1992),"['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
160,Glengarry Glen Ross (1992),"['Fearful', 'Disgusted', 'Neutral', 'Surprised']"
161,Top Gun (1986),"['Happy', 'Neutral', 'Sad', 'Surprised']"
162,On Golden Pond (1981),"['Neutral', 'Happy', 'Sad']"
163,"Return of the Pink Panther, The (1974)","['Happy', 'Neutral', 'Sad', 'Surprised']"
164,"Abyss, The (1989)","['Disgusted', 'Fearful', 'Neutral', 'Surprised']"
165,Jean de Florette (1986),"['Neutral', 'Surprised', 'Disgusted']"
166,Manon of the Spring (Manon des sources) (1986),"['Happy', 'Neutral']"
167,Private Benjamin (1980),"['Happy', 'Neutral', 'Sad']"
168,Monty Python and the Holy Grail (1974),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
169,"Wrong Trousers, The (1993)","['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
170,Cinema Paradiso (1988),"['Happy', 'Neutral', 'Sad']"
171,Delicatessen (1991),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
172,"Empire Strikes Back, The (1980)","['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
173,"Princess Bride, The (1987)","['Happy', 'Neutral', 'Sad', 'Surprised']"
174,Raiders of the Lost Ark (1981),"['Happy', 'Surprised', 'Neutral', 'Sad', 'Angry']"
175,Brazil (1985),"['Fearful', 'Disgusted', 'Neutral', 'Surprised']"
176,Aliens (1986),"['Disgusted', 'Fearful', 'Neutral', 'Surprised', 'Sad']"
177,"Good, The Bad and The Ugly, The (1966)","['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful']"
178,12 Angry Men (1957),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
179,"Clockwork Orange, A (1971)","['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
180,Apocalypse Now (1979),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Sad', 'Surprised']"
181,Return of the Jedi (1983),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
182,GoodFellas (1990),"['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
183,Alien (1979),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
184,Army of Darkness (1993),"['Angry', 'Fearful', 'Neutral', 'Disgusted']"
185,Psycho (1960),"['Fearful', 'Neutral', 'Surprised', 'Disgusted', 'Angry']"
186,"Blues Brothers, The (1980)","['Happy', 'Neutral', 'Sad']"
187,"Godfather: Part II, The (1974)","['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
188,Full Metal Jacket (1987),"['Sad', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Surprised']"
189,"Grand Day Out, A (1992)","['Sad', 'Neutral', 'Happy', 'Surprised']"
190,Henry V (1989),"['Fearful', 'Neutral', 'Sad']"
191,Amadeus (1984),"['Happy', 'Neutral', 'Sad', 'Surprised']"
192,Raging Bull (1980),"['Angry', 'Fearful', 'Neutral', 'Sad', 'Surprised']"
193,"Right Stuff, The (1983)","['Surprised', 'Sad', 'Neutral', 'Happy', 'Fearful']"
194,"Sting, The (1973)","['Surprised', 'Neutral', 'Fearful', 'Disgusted']"
195,"Terminator, The (1984)","['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
196,Dead Poets Society (1989),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
197,"Graduate, The (1967)","['Disgusted', 'Sad', 'Surprised']"
198,Nikita (La Femme Nikita) (1990),"['Neutral', 'Surprised', 'Happy', 'Angry']"
199,"Bridge on the River Kwai, The (1957)","['Angry', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
200,"Shining, The (1980)","['Disgusted', 'Fearful', 'Neutral', 'Surprised', 'Happy', 'Sad']"
201,Evil Dead II (1987),"['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
202,Groundhog Day (1993),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Fearful']"
203,Unforgiven (1992),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
204,Back to the Future (1985),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
205,Patton (1970),"['Angry', 'Happy', 'Neutral', 'Surprised']"
206,Akira (1988),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
207,Cyrano de Bergerac (1990),"['Neutral', 'Sad', 'Surprised', 'Happy']"
208,Young Frankenstein (1974),"['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
209,This Is Spinal Tap (1984),"['Happy', 'Neutral', 'Sad']"
210,Indiana Jones and the Last Crusade (1989),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful', 'Angry']"
211,M*A*S*H (1970),"['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Surprised', 'Sad']"
212,"Unbearable Lightness of Being, The (1988)","['Fearful', 'Disgusted', 'Neutral', 'Angry']"
213,"Room with a View, A (1986)","['Sad', 'Neutral', 'Happy', 'Angry']"
214,Pink Floyd - The Wall (1982),"['Happy', 'Neutral', 'Sad', 'Surprised']"
215,Field of Dreams (1989),"['Happy', 'Neutral', 'Sad', 'Surprised']"
216,When Harry Met Sally... (1989),"['Happy', 'Neutral', 'Sad', 'Surprised']"
217,Bram Stoker's Dracula (1992),"['Fearful', 'Disgusted', 'Surprised', 'Neutral', 'Angry']"
218,Cape Fear (1991),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Sad']"
219,"Nightmare on Elm Street, A (1984)","['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
220,"Mirror Has Two Faces, The (1996)","['Neutral', 'Sad', 'Surprised', 'Happy']"
221,Breaking the Waves (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted']"
222,Star Trek: First Contact (1996),"['Happy', 'Neutral', 'Sad', 'Surprised']"
223,Sling Blade (1996),"['Neutral', 'Sad']"
224,Ridicule (1996),"['Neutral', 'Sad', 'Angry', 'Disgusted']"
225,101 Dalmatians (1996),"['Happy', 'Neutral', 'Sad', 'Surprised']"
226,Die Hard 2 (1990),"['Angry', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
227,Star Trek VI: The Undiscovered Country (1991),"['Happy', 'Neutral', 'Sad', 'Surprised']"
228,Star Trek: The Wrath of Khan (1982),"['Happy', 'Neutral', 'Sad', 'Surprised']"
229,Star Trek III: The Search for Spock (1984),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
230,Star Trek IV: The Voyage Home (1986),"['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
231,Batman Returns (1992),"['Happy', 'Neutral', 'Sad', 'Angry']"
232,Young Guns (1988),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
233,Under Siege (1992),"['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
234,Jaws (1975),"['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
235,Mars Attacks! (1996),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
236,Citizen Ruth (1996),"['Angry', 'Disgusted', 'Neutral']"
237,Jerry Maguire (1996),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
238,Raising Arizona (1987),"['Happy', 'Neutral', 'Sad']"
239,Sneakers (1992),"['Fearful', 'Surprised', 'Neutral']"
240,Beavis and Butt-head Do America (1996),"['Happy', 'Neutral', 'Sad', 'Disgusted']"
241,"Last of the Mohicans, The (1992)","['Disgusted', 'Fearful', 'Angry', 'Neutral', 'Sad']"
242,Kolya (1996),"['Neutral', 'Sad', 'Happy']"
243,Jungle2Jungle (1997),"['Happy', 'Neutral', 'Sad']"
244,Smilla's Sense of Snow (1997),"['Fearful', 'Neutral', 'Surprised']"
245,"Devil's Own, The (1997)","['Angry', 'Fearful', 'Neutral', 'Surprised']"
246,Chasing Amy (1997),"['Neutral', 'Happy']"
247,Turbo: A Power Rangers Movie (1997),"['Happy', 'Neutral', 'Sad']"
248,Grosse Pointe Blank (1997),"['Happy', 'Neutral', 'Sad']"
249,Austin Powers: International Man of Mystery (1997),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry', 'Disgusted']"
250,"Fifth Element, The (1997)","['Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
251,Shall We Dance? (1996),"['Happy', 'Neutral', 'Sad']"
252,"Lost World: Jurassic Park, The (1997)","['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
253,"Pillow Book, The (1995)","['Fearful', 'Surprised', 'Angry']"
254,Batman & Robin (1997),"['Angry', 'Disgusted', 'Happy', 'Neutral', 'Sad', 'Surprised']"
255,My Best Friend's Wedding (1997),"['Happy', 'Neutral', 'Sad', 'Disgusted', 'Angry']"
256,When the Cats Away (Chacun cherche son chat) (1996),"['Happy', 'Neutral', 'Sad']"
257,Men in Black (1997),"['Happy', 'Neutral', 'Sad']"
258,Contact (1997),"['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
259,George of the Jungle (1997),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Disgusted']"
260,Event Horizon (1997),"['Disgusted', 'Fearful', 'Surprised', 'Angry']"
261,Air Bud (1997),"['Happy', 'Neutral', 'Sad']"
262,In the Company of Men (1997),"['Happy', 'Neutral', 'Sad']"
263,Steel (1997),"['Angry', 'Disgusted', 'Fearful', 'Neutral']"
264,Mimic (1997),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
265,"Hunt for Red October, The (1990)","['Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
266,Kull the Conqueror (1997),"['Disgusted', 'Neutral']"
267,unknown,['Angry']
268,Chasing Amy (1997),"['Happy', 'Neutral', 'Sad']"
269,"Full Monty, The (1997)","['Disgusted', 'Happy', 'Neutral', 'Sad']"
270,Gattaca (1997),"['Surprised', 'Happy', 'Neutral', 'Sad', 'Angry']"
271,Starship Troopers (1997),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
272,Good Will Hunting (1997),"['Angry', 'Happy', 'Disgusted', 'Fearful', 'Neutral', 'Sad', 'Surprised']"
273,Heat (1995),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Surprised']"
274,Sabrina (1995),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Fearful']"
275,Sense and Sensibility (1995),"['Happy', 'Neutral', 'Sad']"
276,Leaving Las Vegas (1995),"['Happy', 'Fearful', 'Neutral', 'Sad', 'Surprised']"
277,Restoration (1995),"['Happy', 'Neutral', 'Sad']"
278,Bed of Roses (1996),"['Happy', 'Neutral', 'Sad']"
279,Once Upon a Time... When We Were Colored (1995),"['Angry', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
280,Up Close and Personal (1996),"['Disgusted', 'Happy', 'Neutral', 'Sad']"
281,"River Wild, The (1994)","['Angry', 'Disgusted', 'Neutral']"
282,"Time to Kill, A (1996)","['Disgusted', 'Angry', 'Fearful', 'Sad', 'Surprised', 'Neutral']"
283,Emma (1996),"['Happy', 'Neutral', 'Sad', 'Disgusted']"
284,Tin Cup (1996),"['Happy', 'Neutral', 'Sad', 'Angry']"
285,Secrets & Lies (1996),"['Happy', 'Neutral', 'Sad']"
286,"English Patient, The (1996)","['Happy', 'Neutral', 'Sad']"
287,Marvin's Room (1996),"['Sad', 'Surprised', 'Disgusted', 'Angry', 'Neutral']"
288,Scream (1996),"['Fearful', 'Neutral', 'Surprised', 'Disgusted', 'Angry']"
289,Evita (1996),"['Happy', 'Neutral', 'Sad']"
290,Fierce Creatures (1997),"['Happy', 'Neutral', 'Sad']"
291,Absolute Power (1997),"['Angry', 'Disgusted', 'Neutral', 'Surprised']"
292,Rosewood (1997),"['Disgusted', 'Fearful', 'Surprised', 'Neutral']"
293,Donnie Brasco (1997),"['Angry', 'Disgusted', 'Fearful', 'Surprised']"
294,Liar Liar (1997),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
295,Breakdown (1997),"['Fearful', 'Angry', 'Surprised', 'Neutral']"
296,"Promesse, La (1996)","['Angry', 'Sad', 'Neutral']"
297,Ulee's Gold (1997),"['Happy', 'Neutral', 'Sad', 'Surprised', 'Angry']"
298,Face/Off (1997),"['Angry', 'Disgusted', 'Fearful', 'Surprised', 'Neutral']"
299,Hoodlum (1997),"['Angry', 'Disgusted', 'Fearful', 'Neutral']"
300,Air Force One (1997),"['Angry', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
301,In & Out (1997),"['Disgusted', 'Neutral', 'Sad']"
302,L.A. Confidential (1997),"['Angry', 'Surprised', 'Neutral']"
303,Ulee's Gold (1997),"['Happy', 'Neutral', 'Sad', 'Surprised']"
304,Fly Away Home (1996),"['Happy', 'Neutral', 'Sad']"
305,"Ice Storm, The (1997)","['Neutral', 'Sad', 'Angry']"
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","['Happy', 'Neutral', 'Sad']"
307,"Devil's Advocate, The (1997)","['Angry', 'Fearful', 'Neutral', 'Surprised']"
308,FairyTale: A True Story (1997),"['Happy', 'Neutral', 'Sad']"
309,Deceiver (1997),"['Fearful', 'Angry', 'Disgusted', 'Surprised']"
310,"Rainmaker, The (1997)","['Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
311,"Wings of the Dove, The (1997)","['Happy', 'Neutral', 'Sad', 'Angry']"
312,Midnight in the Garden of Good and Evil (1997),"['Fearful', 'Surprised', 'Neutral']"
313,Titanic (1997),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
314,3 Ninjas: High Noon At Mega Mountain (1998),"['Angry', 'Disgusted', 'Fearful', 'Neutral']"
315,Apt Pupil (1998),"['Fearful', 'Disgusted', 'Surprised', 'Sad']"
316,As Good As It Gets (1997),"['Happy', 'Neutral', 'Sad', 'Surprised']"
317,In the Name of the Father (1993),"['Fearful', 'Angry', 'Happy', 'Neutral', 'Sad', 'Surprised']"
318,Schindler's List (1993),"['Angry', 'Disgusted', 'Fearful', 'Happy', 'Neutral', 'Sad', 'Surprised']"
319,Everyone Says I Love You (1996),"['Happy', 'Neutral', 'Sad']"
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),"['Angry', 'Disgusted', 'Fearful', 'Neutral', 'Surprised']"
321,Mother (1996),"['Happy', 'Neutral']"
322,Murder at 1600 (1997),"['Angry', 'Fearful', 'Neutral', 'Surprised']"
323,Dante's Peak (1997),"['Fearful', 'Neutral', 'Sad', 'Surprised']"
324,Lost Highway (1997),"['Fearful', 'Surprised', 'Sad', 'Neutral']"
325,Crash (1996),"['Disgusted', 'Surprised', 'Neutral', 'Sad', 'Fearful']"
326,G.I. Jane (1997),"['Angry', 'Happy', 'Neutral', 'Sad']"
